method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
cats,lcbench,3945,0,200,1.3276780843734741,10.873861072063447,cats_lcbench_inst3945_seed0.csv
random,lcbench,3945,0,200,6.743801593780518,11.654374041557311,random_lcbench_inst3945_seed0.csv
tpe,lcbench,3945,0,200,5.186178207397461,9.03231627702713,tpe_lcbench_inst3945_seed0.csv
cats,lcbench,3945,1,200,2.5199503898620605,7.432537610530853,cats_lcbench_inst3945_seed1.csv
random,lcbench,3945,1,200,4.39830207824707,9.843284602165221,random_lcbench_inst3945_seed1.csv
tpe,lcbench,3945,1,200,3.8488807678222656,6.61174542427063,tpe_lcbench_inst3945_seed1.csv
cats,lcbench,3945,2,200,4.2184157371521,10.749830014705658,cats_lcbench_inst3945_seed2.csv
random,lcbench,3945,2,200,7.096602916717529,11.227059180736541,random_lcbench_inst3945_seed2.csv
tpe,lcbench,3945,2,200,4.119408130645752,8.195173771381379,tpe_lcbench_inst3945_seed2.csv
cats,lcbench,7593,0,200,4.225388050079346,33.00684904813767,cats_lcbench_inst7593_seed0.csv
random,lcbench,7593,0,200,7.192821502685547,30.9245348739624,random_lcbench_inst7593_seed0.csv
tpe,lcbench,7593,0,200,5.39813756942749,27.779216537475588,tpe_lcbench_inst7593_seed0.csv
cats,lcbench,7593,1,200,7.197004795074463,25.940342116355897,cats_lcbench_inst7593_seed1.csv
random,lcbench,7593,1,200,18.499187469482422,30.24530170440674,random_lcbench_inst7593_seed1.csv
tpe,lcbench,7593,1,200,5.9712653160095215,12.834089479446412,tpe_lcbench_inst7593_seed1.csv
cats,lcbench,7593,2,200,14.943288803100586,45.56838723182678,cats_lcbench_inst7593_seed2.csv
random,lcbench,7593,2,200,15.15664291381836,42.59645652770996,random_lcbench_inst7593_seed2.csv
tpe,lcbench,7593,2,200,3.0275378227233887,10.933161113262177,tpe_lcbench_inst7593_seed2.csv
cats,lcbench,34539,0,200,1.4252910614013672,4.646190407276154,cats_lcbench_inst34539_seed0.csv
random,lcbench,34539,0,200,1.8478156328201294,7.0326523822546,random_lcbench_inst34539_seed0.csv
tpe,lcbench,34539,0,200,2.1504156589508057,4.722893210649491,tpe_lcbench_inst34539_seed0.csv
cats,lcbench,34539,1,200,2.0737197399139404,3.020251544713974,cats_lcbench_inst34539_seed1.csv
random,lcbench,34539,1,200,2.618957757949829,5.327549608945847,random_lcbench_inst34539_seed1.csv
tpe,lcbench,34539,1,200,2.047224998474121,4.1096329021453855,tpe_lcbench_inst34539_seed1.csv
cats,lcbench,34539,2,200,1.8352653980255127,5.254444273710251,cats_lcbench_inst34539_seed2.csv
random,lcbench,34539,2,200,2.4390711784362793,5.861729474067688,random_lcbench_inst34539_seed2.csv
tpe,lcbench,34539,2,200,1.0794622898101807,4.345960757732391,tpe_lcbench_inst34539_seed2.csv
cats,lcbench,146212,0,200,4.168214797973633,7.971159200668335,cats_lcbench_inst146212_seed0.csv
random,lcbench,146212,0,200,7.553989410400391,11.660293841362,random_lcbench_inst146212_seed0.csv
tpe,lcbench,146212,0,200,4.295111656188965,9.470535593032837,tpe_lcbench_inst146212_seed0.csv
cats,lcbench,146212,1,200,6.912532806396484,17.580232601165772,cats_lcbench_inst146212_seed1.csv
random,lcbench,146212,1,200,11.641182899475098,14.255905661582947,random_lcbench_inst146212_seed1.csv
tpe,lcbench,146212,1,200,4.784570693969727,8.3150563287735,tpe_lcbench_inst146212_seed1.csv
cats,lcbench,146212,2,200,5.427421569824219,13.304855489730835,cats_lcbench_inst146212_seed2.csv
random,lcbench,146212,2,200,6.156729698181152,11.04599443912506,random_lcbench_inst146212_seed2.csv
tpe,lcbench,146212,2,200,6.092584133148193,9.947570333480835,tpe_lcbench_inst146212_seed2.csv
cats,lcbench,168329,0,200,1.6804791688919067,9.029750512242318,cats_lcbench_inst168329_seed0.csv
random,lcbench,168329,0,200,6.580648899078369,10.38717696428299,random_lcbench_inst168329_seed0.csv
tpe,lcbench,168329,0,200,1.638645052909851,6.004313947558403,tpe_lcbench_inst168329_seed0.csv
cats,lcbench,168329,1,200,1.858971357345581,10.905738317966462,cats_lcbench_inst168329_seed1.csv
random,lcbench,168329,1,200,2.7095983028411865,7.334318310022354,random_lcbench_inst168329_seed1.csv
tpe,lcbench,168329,1,200,2.238267421722412,3.9637503242492675,tpe_lcbench_inst168329_seed1.csv
cats,lcbench,168329,2,200,2.2006165981292725,9.70104870915413,cats_lcbench_inst168329_seed2.csv
random,lcbench,168329,2,200,3.999483585357666,8.524296615123749,random_lcbench_inst168329_seed2.csv
tpe,lcbench,168329,2,200,1.704185128211975,3.1778267443180086,tpe_lcbench_inst168329_seed2.csv
