timestamp,optimizer,bench,instance,seed,eval_id,score,cfg_json,out_json
2026-04-19T16:41:56.773365,catsplus,lcbench,168329,2,17,59.3404426574707,"{""OpenML_task_id"": ""189906"", ""batch_size"": 207, ""epoch"": 19, ""learning_rate"": 0.014625210334928708, ""max_dropout"": 0.8226717638047027, ""max_units"": 363, ""momentum"": 0.2759165421551618, ""num_layers"": 2, ""weight_decay"": 0.035406674114062266}",{}
2026-04-19T16:41:56.773506,catsplus,lcbench,168329,2,18,126.46328735351562,"{""OpenML_task_id"": ""167200"", ""batch_size"": 43, ""epoch"": 39, ""learning_rate"": 0.001107984619993943, ""max_dropout"": 0.8321273530868726, ""max_units"": 71, ""momentum"": 0.6908812879119695, ""num_layers"": 3, ""weight_decay"": 0.09868904432007501}",{}
2026-04-19T16:41:56.773649,catsplus,lcbench,168329,2,19,74.6280288696289,"{""OpenML_task_id"": ""146212"", ""batch_size"": 99, ""epoch"": 16, ""learning_rate"": 0.08090848933222292, ""max_dropout"": 0.7924698812257304, ""max_units"": 93, ""momentum"": 0.6243764689603846, ""num_layers"": 3, ""weight_decay"": 0.09984387607762961}",{}
2026-04-19T16:41:56.773823,catsplus,lcbench,168329,2,20,71.23528289794922,"{""OpenML_task_id"": ""189865"", ""batch_size"": 144, ""epoch"": 11, ""learning_rate"": 0.00046314275421575684, ""max_dropout"": 0.9778712532488194, ""max_units"": 402, ""momentum"": 0.2795526655572467, ""num_layers"": 3, ""weight_decay"": 0.08069284608867813}",{}
2026-04-19T16:41:56.773981,catsplus,lcbench,168329,2,21,101.40046691894531,"{""OpenML_task_id"": ""168910"", ""batch_size"": 266, ""epoch"": 25, ""learning_rate"": 0.0007301028037666803, ""max_dropout"": 0.9852934570012231, ""max_units"": 225, ""momentum"": 0.8309562865780618, ""num_layers"": 4, ""weight_decay"": 0.056711111578695225}",{}
2026-04-19T16:41:56.774126,catsplus,lcbench,168329,2,22,104.02067565917969,"{""OpenML_task_id"": ""167149"", ""batch_size"": 204, ""epoch"": 40, ""learning_rate"": 0.011990610294286105, ""max_dropout"": 0.6335262279923544, ""max_units"": 371, ""momentum"": 0.9891684174231388, ""num_layers"": 1, ""weight_decay"": 0.0214827157790192}",{}
2026-04-19T16:41:56.774272,catsplus,lcbench,168329,2,23,161.5314178466797,"{""OpenML_task_id"": ""167161"", ""batch_size"": 54, ""epoch"": 37, ""learning_rate"": 0.00899137472523994, ""max_dropout"": 0.6904638561052604, ""max_units"": 222, ""momentum"": 0.9805162897468687, ""num_layers"": 5, ""weight_decay"": 0.004876651086402512}",{}
2026-04-19T16:41:56.774409,catsplus,lcbench,168329,2,24,10.897929191589355,"{""OpenML_task_id"": ""189908"", ""batch_size"": 17, ""epoch"": 2, ""learning_rate"": 0.006928050652927902, ""max_dropout"": 0.20350366298926914, ""max_units"": 82, ""momentum"": 0.18642164010342047, ""num_layers"": 3, ""weight_decay"": 0.044647032206306836}",{}
2026-04-19T16:41:56.774550,catsplus,lcbench,168329,2,25,26.301250457763672,"{""OpenML_task_id"": ""168910"", ""batch_size"": 476, ""epoch"": 9, ""learning_rate"": 0.04851898207740332, ""max_dropout"": 0.41067224499398447, ""max_units"": 68, ""momentum"": 0.4385024581192898, ""num_layers"": 1, ""weight_decay"": 0.03597528767010474}",{}
2026-04-19T16:41:56.774695,catsplus,lcbench,168329,2,26,160.07420349121094,"{""OpenML_task_id"": ""167200"", ""batch_size"": 75, ""epoch"": 32, ""learning_rate"": 0.06977725863664555, ""max_dropout"": 0.023111916980171898, ""max_units"": 131, ""momentum"": 0.18519574035837366, ""num_layers"": 3, ""weight_decay"": 0.0668338428763763}",{}
