method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
catsplus_v2,lcbench,34539,2,20,12.84042739868164,23.20287742614746,catsplus_v2_lcbench_inst34539_seed2.csv
random,lcbench,34539,2,20,9.790719985961914,16.062490272521973,random_lcbench_inst34539_seed2.csv
tpe,lcbench,34539,2,20,6.428651332855225,7.792513298988342,tpe_lcbench_inst34539_seed2.csv
asha,lcbench,146212,0,40,0.3173251748085022,1.1178199224174024,asha_lcbench_inst146212_seed0.csv
cats,lcbench,146212,0,20,17.583023071289062,31.015189743041994,cats_lcbench_inst146212_seed0.csv
catsplus,lcbench,146212,0,0,1000000000.0,1000000000.0,catsplus_lcbench_inst146212_seed0.csv
catsplus_v2,lcbench,146212,0,20,17.433815002441406,19.904468154907228,catsplus_v2_lcbench_inst146212_seed0.csv
random,lcbench,146212,0,20,11.546358108520508,34.20385551452637,random_lcbench_inst146212_seed0.csv
tpe,lcbench,146212,0,20,12.746997833251953,23.875639533996583,tpe_lcbench_inst146212_seed0.csv
asha,lcbench,146212,1,40,0.5041974186897278,1.2701711535453797,asha_lcbench_inst146212_seed1.csv
cats,lcbench,146212,1,20,23.33102798461914,48.03881683349609,cats_lcbench_inst146212_seed1.csv
catsplus,lcbench,146212,1,0,1000000000.0,1000000000.0,catsplus_lcbench_inst146212_seed1.csv
catsplus_v2,lcbench,146212,1,20,16.406089782714844,22.714116096496582,catsplus_v2_lcbench_inst146212_seed1.csv
random,lcbench,146212,1,20,16.089542388916016,21.818515586853028,random_lcbench_inst146212_seed1.csv
tpe,lcbench,146212,1,20,9.98315715789795,35.13647632598877,tpe_lcbench_inst146212_seed1.csv
asha,lcbench,146212,2,40,0.24055291712284088,1.094418414309621,asha_lcbench_inst146212_seed2.csv
cats,lcbench,146212,2,20,25.134078979492188,28.68440055847168,cats_lcbench_inst146212_seed2.csv
catsplus,lcbench,146212,2,0,1000000000.0,1000000000.0,catsplus_lcbench_inst146212_seed2.csv
catsplus_v2,lcbench,146212,2,20,16.895545959472656,41.99755096435547,catsplus_v2_lcbench_inst146212_seed2.csv
random,lcbench,146212,2,20,35.4657096862793,42.93093852996826,random_lcbench_inst146212_seed2.csv
tpe,lcbench,146212,2,20,16.779808044433594,21.88175735473633,tpe_lcbench_inst146212_seed2.csv
asha,lcbench,168329,0,40,3.220695734024048,3.931073045730591,asha_lcbench_inst168329_seed0.csv
cats,lcbench,168329,0,20,26.022357940673828,62.28507900238037,cats_lcbench_inst168329_seed0.csv
catsplus,lcbench,168329,0,0,1000000000.0,1000000000.0,catsplus_lcbench_inst168329_seed0.csv
catsplus_v2,lcbench,168329,0,20,27.430770874023438,53.0973258972168,catsplus_v2_lcbench_inst168329_seed0.csv
random,lcbench,168329,0,20,31.668567657470703,61.540639114379886,random_lcbench_inst168329_seed0.csv
tpe,lcbench,168329,0,20,10.621824264526367,27.141559028625487,tpe_lcbench_inst168329_seed0.csv
asha,lcbench,168329,1,40,3.460923433303833,3.9888055264949798,asha_lcbench_inst168329_seed1.csv
cats,lcbench,168329,1,20,12.57966136932373,39.96699380874634,cats_lcbench_inst168329_seed1.csv
catsplus,lcbench,168329,1,0,1000000000.0,1000000000.0,catsplus_lcbench_inst168329_seed1.csv
catsplus_v2,lcbench,168329,1,20,42.937286376953125,47.16420478820801,catsplus_v2_lcbench_inst168329_seed1.csv
random,lcbench,168329,1,20,5.332597732543945,13.037745094299316,random_lcbench_inst168329_seed1.csv
tpe,lcbench,168329,1,20,3.4542458057403564,15.82821958065033,tpe_lcbench_inst168329_seed1.csv
asha,lcbench,168329,2,40,3.950634717941284,4.176964330673218,asha_lcbench_inst168329_seed2.csv
cats,lcbench,168329,2,20,18.981674194335938,36.375045967102054,cats_lcbench_inst168329_seed2.csv
catsplus,lcbench,168329,2,0,1000000000.0,1000000000.0,catsplus_lcbench_inst168329_seed2.csv
catsplus_v2,lcbench,168329,2,20,4.36622953414917,16.83279628753662,catsplus_v2_lcbench_inst168329_seed2.csv
random,lcbench,168329,2,20,11.420856475830078,18.3420316696167,random_lcbench_inst168329_seed2.csv
tpe,lcbench,168329,2,20,5.1638665199279785,11.810470962524414,tpe_lcbench_inst168329_seed2.csv
